,id,region,start,end,strand
22690,22690,ENST00000304954,197,397,+
46504,46504,ENST00000616296,53,253,+
25031,25031,ENST00000373759,53,253,+
4718,4718,ENST00000241051,735,935,+
7700,7700,ENST00000292246,261,461,+
36040,36040,ENST00000616644,673,873,+
1309,1309,ENST00000379679,64,264,+
7912,7912,ENST00000576582,117,317,+
2397,2397,ENST00000635895,4270,4470,+
14783,14783,ENST00000490646,795,995,+
3050,3050,ENST00000399304,794,994,+
8715,8715,ENST00000393711,90,290,+
40331,40331,ENST00000558518,2031,2231,+
37234,37234,ENST00000602142,1272,1472,+
506,506,ENST00000367796,5432,5632,+
42791,42791,ENST00000558263,318,518,+
10788,10788,ENST00000377431,565,765,+
2136,2136,ENST00000325926,115,315,+
46671,46671,ENST00000643770,144,344,+
42182,42182,ENST00000560825,172,372,+
19905,19905,ENST00000402538,1525,1725,+
36241,36241,ENST00000298743,370,570,+
9098,9098,ENST00000455213,2,202,+
39431,39431,ENST00000334379,397,597,+
24581,24581,ENST00000582171,6,206,+
4755,4755,ENST00000367687,50,250,+
43560,43560,ENST00000536378,1024,1224,+
11379,11379,ENST00000473737,150,350,+
4365,4365,ENST00000348657,820,1020,+
20136,20136,ENST00000445655,22,222,+
15576,15576,ENST00000488120,380,580,+
44015,44015,ENST00000630631,581,781,+
49459,49459,ENST00000404995,504,704,+
31264,31264,ENST00000621082,750,950,+
27342,27342,ENST00000380542,257,457,+
10513,10513,ENST00000436259,725,925,+
34554,34554,ENST00000344616,74,274,+
42852,42852,ENST00000435172,786,986,+
15300,15300,ENST00000400380,324,524,+
10509,10509,ENST00000297623,440,640,+
21198,21198,ENST00000614677,160,360,+
41069,41069,ENST00000348811,207,407,+
24713,24713,ENST00000455559,0,200,+
6627,6627,ENST00000380762,82,282,+
17213,17213,ENST00000592590,193,393,+
3710,3710,ENST00000255040,397,597,+
16902,16902,ENST00000508155,74,274,+
40587,40587,ENST00000368882,158,358,+
14742,14742,ENST00000380327,162,362,+
38446,38446,ENST00000610940,538,738,+
22272,22272,ENST00000342751,173,373,+
29730,29730,ENST00000361710,86,286,+
46702,46702,ENST00000588457,468,668,+
31893,31893,ENST00000445960,12,212,+
44649,44649,ENST00000326181,1539,1739,+
23063,23063,ENST00000432060,643,843,+
34219,34219,ENST00000545647,651,851,+
40400,40400,ENST00000311337,224,424,+
34135,34135,ENST00000613821,187,387,+
8281,8281,ENST00000360108,4172,4372,+
41695,41695,ENST00000341657,2495,2695,+
30323,30323,ENST00000358580,656,856,+
21693,21693,ENST00000374778,261,461,+
38586,38586,ENST00000432175,226,426,+
39609,39609,ENST00000508064,896,1096,+
12978,12978,ENST00000522527,555,755,+
36377,36377,ENST00000649971,1785,1985,+
18468,18468,ENST00000378364,89,289,+
24321,24321,ENST00000619227,172,372,+
1399,1399,ENST00000561516,3,203,+
38477,38477,ENST00000370536,28,228,+
6616,6616,ENST00000295633,626,826,+
40409,40409,ENST00000610455,339,539,+
9075,9075,ENST00000380455,25,225,+
6709,6709,ENST00000312865,1263,1463,+
9307,9307,ENST00000367910,179,379,+
33022,33022,ENST00000536308,88,288,+
43682,43682,ENST00000395344,3728,3928,+
7060,7060,ENST00000441551,4811,5011,+
2430,2430,ENST00000602195,30,230,+
15348,15348,ENST00000561482,40,240,+
13756,13756,ENST00000414138,50,250,+
30571,30571,ENST00000640769,2278,2478,+
39167,39167,ENST00000252840,172,372,+
44868,44868,ENST00000366487,751,951,+
44615,44615,ENST00000367262,44,244,+
44967,44967,ENST00000396984,106,306,+
49038,49038,ENST00000560572,669,869,+
37513,37513,ENST00000563998,216,416,+
13113,13113,ENST00000412622,2747,2947,+
41466,41466,ENST00000305141,433,633,+
4440,4440,ENST00000255945,653,853,+
37502,37502,ENST00000322122,627,827,+
33695,33695,ENST00000369633,354,554,+
26159,26159,ENST00000306357,489,689,+
17975,17975,ENST00000370575,125,325,+
42313,42313,ENST00000487799,1478,1678,+
28198,28198,ENST00000430085,23,223,+
10201,10201,ENST00000267836,451,651,+
18578,18578,ENST00000444636,35,235,+
24246,24246,ENST00000592313,144,344,+
47250,47250,ENST00000261530,1109,1309,+
12694,12694,ENST00000275230,300,500,+
23313,23313,ENST00000446066,45,245,+
16884,16884,ENST00000629042,144,344,+
39022,39022,ENST00000228318,673,873,+
47871,47871,ENST00000245441,1848,2048,+
38339,38339,ENST00000381542,397,597,+
29298,29298,ENST00000638063,167,367,+
38312,38312,ENST00000393417,4,204,+
22370,22370,ENST00000617672,135,335,+
21525,21525,ENST00000645058,233,433,+
7819,7819,ENST00000613030,162,362,+
39985,39985,ENST00000409838,89,289,+
26229,26229,ENST00000409990,766,966,+
33007,33007,ENST00000380962,99,299,+
22803,22803,ENST00000396618,234,434,+
38753,38753,ENST00000170150,1098,1298,+
3266,3266,ENST00000354310,548,748,+
33020,33020,ENST00000599643,130,330,+
16827,16827,ENST00000310123,496,696,+
22864,22864,ENST00000473463,8,208,+
35325,35325,ENST00000211122,398,598,+
8505,8505,ENST00000648426,608,808,+
18966,18966,ENST00000538617,694,894,+
47084,47084,ENST00000222584,1052,1252,+
47685,47685,ENST00000646463,110,310,+
44628,44628,ENST00000616614,17,217,+
43153,43153,ENST00000624267,759,959,+
37572,37572,ENST00000366996,694,894,+
49564,49564,ENST00000473787,51,251,+
47143,47143,ENST00000485386,38,238,+
27427,27427,ENST00000619513,45,245,+
48101,48101,ENST00000313503,27,227,+
37373,37373,ENST00000641069,485,685,+
38860,38860,ENST00000287461,678,878,+
26438,26438,ENST00000620463,772,972,+
48902,48902,ENST00000641113,468,668,+
44796,44796,ENST00000405755,82,282,+
39096,39096,ENST00000559775,414,614,+
26480,26480,ENST00000574940,868,1068,+
2018,2018,ENST00000279477,865,1065,+
49073,49073,ENST00000638167,1378,1578,+
7042,7042,ENST00000438323,666,866,+
35683,35683,ENST00000370669,9,209,+
9362,9362,ENST00000513205,529,729,+
44450,44450,ENST00000552761,691,891,+
19917,19917,ENST00000245663,592,792,+
16410,16410,ENST00000446179,538,738,+
13088,13088,ENST00000590333,452,652,+
8233,8233,ENST00000562601,0,200,+
32960,32960,ENST00000543587,45,245,+
14583,14583,ENST00000299192,93,293,+
45149,45149,ENST00000449750,928,1128,+
30093,30093,ENST00000528252,748,948,+
27422,27422,ENST00000397076,11,211,+
11229,11229,ENST00000417257,204,404,+
33278,33278,ENST00000508545,478,678,+
16784,16784,ENST00000519993,0,200,+
11718,11718,ENST00000396556,1427,1627,+
9900,9900,ENST00000264709,2059,2259,+
12244,12244,ENST00000434354,740,940,+
13815,13815,ENST00000449285,868,1068,+
9513,9513,ENST00000398538,3670,3870,+
13736,13736,ENST00000555938,367,567,+
41490,41490,ENST00000380591,301,501,+
21633,21633,ENST00000202625,1700,1900,+
16716,16716,ENST00000638579,252,452,+
26448,26448,ENST00000579847,138,338,+
44391,44391,ENST00000404744,81,281,+
35376,35376,ENST00000454381,149,349,+
38120,38120,ENST00000367554,262,462,+
33344,33344,ENST00000494258,107,307,+
9642,9642,ENST00000293379,726,926,+
43717,43717,ENST00000503335,1096,1296,+
19102,19102,ENST00000646880,206,406,+
13953,13953,ENST00000338356,474,674,+
15370,15370,ENST00000381575,345,545,+
25004,25004,ENST00000510661,1052,1252,+
24947,24947,ENST00000491734,187,387,+
15902,15902,ENST00000539261,17,217,+
24541,24541,ENST00000394915,114,314,+
27999,27999,ENST00000646571,1282,1482,+
37397,37397,ENST00000539247,51,251,+
13961,13961,ENST00000375454,113,313,+
3498,3498,ENST00000400294,916,1116,+
24839,24839,ENST00000651114,654,854,+
22621,22621,ENST00000417723,45,245,+
17292,17292,ENST00000339223,308,508,+
38630,38630,ENST00000528193,256,456,+
17440,17440,ENST00000655450,9,209,+
15788,15788,ENST00000651279,85,285,+
41411,41411,ENST00000564374,1421,1621,+
32417,32417,ENST00000564288,21214,21414,+
6377,6377,ENST00000505337,240,440,+
17236,17236,ENST00000525218,1035,1235,+
4490,4490,ENST00000644474,2623,2823,+
29562,29562,ENST00000613052,30,230,+
3978,3978,ENST00000368347,491,691,+
26203,26203,ENST00000300875,756,956,+
32454,32454,ENST00000556048,154,354,+
9938,9938,ENST00000579310,185,385,+
34804,34804,ENST00000640689,14,214,+
10786,10786,ENST00000334068,141,341,+
28168,28168,ENST00000477922,6193,6393,+
35849,35849,ENST00000308783,3000,3200,+
43602,43602,ENST00000403810,341,541,+
21985,21985,ENST00000494208,708,908,+
24590,24590,ENST00000442832,493,693,+
35237,35237,ENST00000289409,554,754,+
7113,7113,ENST00000323130,1988,2188,+
9809,9809,ENST00000324689,158,358,+
25925,25925,ENST00000374550,139,339,+
37831,37831,ENST00000527669,32,232,+
30056,30056,ENST00000317555,120,320,+
49237,49237,ENST00000617301,6575,6775,+
29407,29407,ENST00000461027,0,200,+
48008,48008,ENST00000340345,257,457,+
11216,11216,ENST00000643624,1392,1592,+
3911,3911,ENST00000367454,722,922,+
2803,2803,ENST00000618778,292,492,+
43196,43196,ENST00000651206,120,320,+
20838,20838,ENST00000378557,887,1087,+
28782,28782,ENST00000445445,169,369,+
29151,29151,ENST00000646821,355,555,+
14659,14659,ENST00000580170,869,1069,+
34797,34797,ENST00000337114,1734,1934,+
45612,45612,ENST00000216187,1765,1965,+
18904,18904,ENST00000536680,28,228,+
39642,39642,ENST00000404040,455,655,+
45410,45410,ENST00000543915,1211,1411,+
41942,41942,ENST00000246190,282,482,+
47746,47746,ENST00000640969,812,1012,+
2120,2120,ENST00000586890,10,210,+
34669,34669,ENST00000636166,702,902,+
35528,35528,ENST00000615093,133,333,+
4024,4024,ENST00000375077,587,787,+
41797,41797,ENST00000399201,81,281,+
42451,42451,ENST00000598904,898,1098,+
12762,12762,ENST00000527670,2463,2663,+
45024,45024,ENST00000381611,1005,1205,+
13916,13916,ENST00000265354,1252,1452,+
38686,38686,ENST00000420578,437,637,+
6286,6286,ENST00000556868,135,335,+
39823,39823,ENST00000617470,391,591,+
34021,34021,ENST00000320552,736,936,+
20819,20819,ENST00000380486,1268,1468,+
49728,49728,ENST00000594378,36,236,+
13354,13354,ENST00000527950,321,521,+
4871,4871,ENST00000377960,60,260,+
17431,17431,ENST00000619466,118,318,+
26813,26813,ENST00000644006,29,229,+
26814,26814,ENST00000533784,359,559,+
17847,17847,ENST00000561421,59,259,+
21085,21085,ENST00000546361,1045,1245,+
18973,18973,ENST00000613727,828,1028,+
41189,41189,ENST00000261486,1795,1995,+
7690,7690,ENST00000308666,386,586,+
20871,20871,ENST00000269571,2313,2513,+
20068,20068,ENST00000507738,90,290,+
31003,31003,ENST00000641874,456,656,+
13594,13594,ENST00000357816,160,360,+
49233,49233,ENST00000427738,1729,1929,+
39295,39295,ENST00000361531,300,500,+
18712,18712,ENST00000532041,65,265,+
47089,47089,ENST00000644810,81,281,+
2173,2173,ENST00000357147,192,392,+
19993,19993,ENST00000584764,85,285,+
19411,19411,ENST00000531632,219,419,+
46002,46002,ENST00000237527,7,207,+
22382,22382,ENST00000455036,667,867,+
6257,6257,ENST00000669493,1412,1612,+
10070,10070,ENST00000559228,484,684,+
46071,46071,ENST00000547473,25,225,+
37867,37867,ENST00000509242,950,1150,+
11793,11793,ENST00000261751,155,355,+
44110,44110,ENST00000604621,12,212,+
37896,37896,ENST00000542495,151,351,+
18873,18873,ENST00000335769,11,211,+
9250,9250,ENST00000354321,1167,1367,+
12022,12022,ENST00000379308,677,877,+
32772,32772,ENST00000355943,456,656,+
2819,2819,ENST00000257966,604,804,+
33532,33532,ENST00000473942,578,778,+
4105,4105,ENST00000330720,92,292,+
18262,18262,ENST00000522671,677,877,+
45676,45676,ENST00000394106,230,430,+
29199,29199,ENST00000256953,306,506,+
14876,14876,ENST00000586576,867,1067,+
13735,13735,ENST00000553586,237,437,+
13390,13390,ENST00000648755,228,428,+
48971,48971,ENST00000345108,765,965,+
23884,23884,ENST00000233154,803,1003,+
1302,1302,ENST00000362011,341,541,+
43015,43015,ENST00000396033,1020,1220,+
4964,4964,ENST00000540400,316,516,+
16736,16736,ENST00000617928,1892,2092,+
6637,6637,ENST00000515652,536,736,+
14360,14360,ENST00000640666,472,672,+
39820,39820,ENST00000613788,58,258,+
40749,40749,ENST00000277480,290,490,+
18531,18531,ENST00000514278,1042,1242,+
46156,46156,ENST00000585407,308,508,+
2006,2006,ENST00000263969,1777,1977,+
8603,8603,ENST00000427363,2487,2687,+
29884,29884,ENST00000523782,373,573,+
32029,32029,ENST00000262375,794,994,+
43848,43848,ENST00000368682,854,1054,+
33497,33497,ENST00000409050,4128,4328,+
35280,35280,ENST00000299130,421,621,+
46852,46852,ENST00000667863,219,419,+
48343,48343,ENST00000645291,1663,1863,+
26893,26893,ENST00000409403,553,753,+
36362,36362,ENST00000406453,730,930,+
2447,2447,ENST00000513874,1658,1858,+
19687,19687,ENST00000258100,11,211,+
5871,5871,ENST00000519207,364,564,+
39604,39604,ENST00000447740,1103,1303,+
12113,12113,ENST00000376309,1,201,+
3995,3995,ENST00000416614,948,1148,+
1198,1198,ENST00000597707,111,311,+
3473,3473,ENST00000514819,592,792,+
7695,7695,ENST00000486284,2411,2611,+
9138,9138,ENST00000411432,180,380,+
16894,16894,ENST00000321662,7,207,+
583,583,ENST00000595790,205,405,+
26007,26007,ENST00000549590,58,258,+
4808,4808,ENST00000294172,1497,1697,+
28409,28409,ENST00000607452,199,399,+
34760,34760,ENST00000525035,139,339,+
17660,17660,ENST00000396603,384,584,+
31988,31988,ENST00000416016,159,359,+
47679,47679,ENST00000414284,1450,1650,+
30058,30058,ENST00000619169,52,252,+
32143,32143,ENST00000311352,487,687,+
15491,15491,ENST00000294954,1426,1626,+
49455,49455,ENST00000539820,259,459,+
17414,17414,ENST00000578122,3,203,+
24751,24751,ENST00000278317,360,560,+
49991,49991,ENST00000382285,283,483,+
25016,25016,ENST00000519030,370,570,+
872,872,ENST00000643847,792,992,+
44788,44788,ENST00000643970,292,492,+
42461,42461,ENST00000647022,539,739,+
39042,39042,ENST00000636012,186,386,+
35390,35390,ENST00000448928,729,929,+
11263,11263,ENST00000579475,816,1016,+
13741,13741,ENST00000369747,472,672,+
26741,26741,ENST00000448157,199,399,+
19137,19137,ENST00000405243,985,1185,+
6453,6453,ENST00000401994,737,937,+
9644,9644,ENST00000611898,955,1155,+
6208,6208,ENST00000397408,202,402,+
38149,38149,ENST00000378308,2401,2601,+
3213,3213,ENST00000466684,62,262,+
29018,29018,ENST00000635137,445,645,+
49396,49396,ENST00000477515,34,234,+
36215,36215,ENST00000438588,1423,1623,+
4993,4993,ENST00000622409,51,251,+
5736,5736,ENST00000541910,194,394,+
45422,45422,ENST00000409784,76,276,+
37649,37649,ENST00000524315,31,231,+
34067,34067,ENST00000287322,573,773,+
40224,40224,ENST00000535282,1607,1807,+
41230,41230,ENST00000379244,1486,1686,+
24953,24953,ENST00000652233,250,450,+
20647,20647,ENST00000521114,26,226,+
48206,48206,ENST00000400769,472,672,+
36623,36623,ENST00000587589,17,217,+
36651,36651,ENST00000424478,54,254,+
49272,49272,ENST00000282561,731,931,+
40777,40777,ENST00000635200,60,260,+
30560,30560,ENST00000447667,828,1028,+
10429,10429,ENST00000586592,72,272,+
47269,47269,ENST00000361492,3655,3855,+
1874,1874,ENST00000277942,1,201,+
20894,20894,ENST00000371691,511,711,+
14416,14416,ENST00000258770,1243,1443,+
8653,8653,ENST00000619706,960,1160,+
38984,38984,ENST00000503974,462,662,+
7644,7644,ENST00000554591,1431,1631,+
36371,36371,ENST00000595669,205,405,+
36849,36849,ENST00000616739,434,634,+
36819,36819,ENST00000565511,52,252,+
650,650,ENST00000530267,1536,1736,+
32437,32437,ENST00000236051,358,558,+
39708,39708,ENST00000380909,513,713,+
27298,27298,ENST00000234392,405,605,+
7740,7740,ENST00000325812,143,343,+
48660,48660,ENST00000645618,309,509,+
12562,12562,ENST00000392769,129,329,+
43662,43662,ENST00000391814,1830,2030,+
38858,38858,ENST00000378916,136,336,+
38252,38252,ENST00000651407,855,1055,+
26021,26021,ENST00000644743,430,630,+
25990,25990,ENST00000643905,47,247,+
36166,36166,ENST00000618240,209,409,+
28550,28550,ENST00000375991,86,286,+
33681,33681,ENST00000508296,245,445,+
41432,41432,ENST00000442664,319,519,+
14480,14480,ENST00000555030,83,283,+
45877,45877,ENST00000519442,809,1009,+
7000,7000,ENST00000570132,1,201,+
13589,13589,ENST00000252456,21,221,+
39788,39788,ENST00000312475,385,585,+
17055,17055,ENST00000412277,722,922,+
22644,22644,ENST00000370695,38,238,+
27993,27993,ENST00000591436,269,469,+
30643,30643,ENST00000313093,222,422,+
257,257,ENST00000357552,2041,2241,+
25696,25696,ENST00000617670,390,590,+
3045,3045,ENST00000409813,456,656,+
11994,11994,ENST00000508789,413,613,+
22590,22590,ENST00000302538,2164,2364,+
38167,38167,ENST00000581573,488,688,+
45196,45196,ENST00000239231,844,1044,+
38517,38517,ENST00000264454,500,700,+
33689,33689,ENST00000457814,467,667,+
22630,22630,ENST00000431519,233,433,+
1939,1939,ENST00000536329,222,422,+
4236,4236,ENST00000481834,1267,1467,+
30626,30626,ENST00000373271,2967,3167,+
23336,23336,ENST00000549751,145,345,+
45601,45601,ENST00000549162,2882,3082,+
2468,2468,ENST00000244293,33,233,+
29108,29108,ENST00000276816,522,722,+
38039,38039,ENST00000381839,635,835,+
6531,6531,ENST00000494440,210,410,+
49915,49915,ENST00000515669,34,234,+
2184,2184,ENST00000646186,137,337,+
4223,4223,ENST00000551374,507,707,+
41545,41545,ENST00000409344,434,634,+
43880,43880,ENST00000616154,41,241,+
44297,44297,ENST00000490264,505,705,+
14315,14315,ENST00000621999,197,397,+
25999,25999,ENST00000593913,71,271,+
17067,17067,ENST00000296504,288,488,+
46745,46745,ENST00000619265,23,223,+
31864,31864,ENST00000612891,1289,1489,+
19407,19407,ENST00000431561,890,1090,+
46289,46289,ENST00000436367,1374,1574,+
7472,7472,ENST00000650354,541,741,+
26075,26075,ENST00000502374,141,341,+
15476,15476,ENST00000535949,2176,2376,+
38521,38521,ENST00000528594,2373,2573,+
38317,38317,ENST00000288745,211,411,+
5094,5094,ENST00000229264,61,261,+
31292,31292,ENST00000242140,771,971,+
13915,13915,ENST00000377147,106,306,+
15986,15986,ENST00000307128,356,556,+
43308,43308,ENST00000284110,998,1198,+
14307,14307,ENST00000511448,224,424,+
31729,31729,ENST00000528900,180,380,+
10631,10631,ENST00000397113,1559,1759,+
3620,3620,ENST00000641774,361,561,+
12706,12706,ENST00000356876,874,1074,+
42898,42898,ENST00000637562,549,749,+
24702,24702,ENST00000573332,13,213,+
24571,24571,ENST00000262554,988,1188,+
33474,33474,ENST00000429120,88,288,+
41933,41933,ENST00000357796,454,654,+
43943,43943,ENST00000336604,246,446,+
18636,18636,ENST00000367511,2234,2434,+
32301,32301,ENST00000393312,388,588,+
522,522,ENST00000588991,1051,1251,+
37165,37165,ENST00000367981,210,410,+
19628,19628,ENST00000520866,15,215,+
19640,19640,ENST00000443047,789,989,+
43094,43094,ENST00000351808,870,1070,+
9946,9946,ENST00000351748,317,517,+
26713,26713,ENST00000614565,482,682,+
23577,23577,ENST00000613363,745,945,+
43633,43633,ENST00000242315,311,511,+
23789,23789,ENST00000508526,1151,1351,+
24652,24652,ENST00000302548,314,514,+
32171,32171,ENST00000220812,451,651,+
13199,13199,ENST00000476979,640,840,+
10305,10305,ENST00000449131,398,598,+
47035,47035,ENST00000294008,4605,4805,+
49364,49364,ENST00000269814,271,471,+
41374,41374,ENST00000343327,444,644,+
48138,48138,ENST00000444377,190,390,+
9139,9139,ENST00000504875,622,822,+
47687,47687,ENST00000443427,391,591,+
16815,16815,ENST00000526538,606,806,+
43988,43988,ENST00000399637,3844,4044,+
47467,47467,ENST00000620044,33,233,+
4037,4037,ENST00000438543,1062,1262,+
14099,14099,ENST00000326016,194,394,+
9775,9775,ENST00000439461,1179,1379,+
45903,45903,ENST00000409060,55,255,+
21093,21093,ENST00000398696,48,248,+
30347,30347,ENST00000532699,83,283,+
31948,31948,ENST00000605847,32,232,+
35213,35213,ENST00000641139,226,426,+
41407,41407,ENST00000553053,24,224,+
17195,17195,ENST00000372827,703,903,+
28358,28358,ENST00000012134,4347,4547,+
16362,16362,ENST00000318833,10,210,+
22438,22438,ENST00000398291,97,297,+
28171,28171,ENST00000619261,532,732,+
47656,47656,ENST00000283891,482,682,+
16602,16602,ENST00000392708,1372,1572,+
13244,13244,ENST00000309922,996,1196,+
48443,48443,ENST00000613374,98,298,+
18084,18084,ENST00000552912,940,1140,+
37986,37986,ENST00000596209,1396,1596,+
1011,1011,ENST00000391985,449,649,+
3026,3026,ENST00000616529,240,440,+
34167,34167,ENST00000607484,36,236,+
48267,48267,ENST00000580632,119,319,+
19082,19082,ENST00000439160,908,1108,+
38816,38816,ENST00000395047,375,575,+
35348,35348,ENST00000373558,766,966,+
49684,49684,ENST00000352331,1836,2036,+
42622,42622,ENST00000464633,9,209,+
13763,13763,ENST00000360700,1171,1371,+
16067,16067,ENST00000375650,1456,1656,+
4065,4065,ENST00000448904,368,568,+
4991,4991,ENST00000393461,624,824,+
39716,39716,ENST00000172853,14953,15153,+
28847,28847,ENST00000618787,831,1031,+
28033,28033,ENST00000263401,211,411,+
41792,41792,ENST00000527446,317,517,+
12095,12095,ENST00000596558,730,930,+
37364,37364,ENST00000540677,591,791,+
33237,33237,ENST00000259983,23,223,+
20242,20242,ENST00000401701,243,443,+
17340,17340,ENST00000402578,8,208,+
9626,9626,ENST00000373970,501,701,+
22247,22247,ENST00000526707,1419,1619,+
3157,3157,ENST00000266679,167,367,+
11295,11295,ENST00000433931,1796,1996,+
49845,49845,ENST00000355749,125,325,+
42057,42057,ENST00000505246,39,239,+
11132,11132,ENST00000379982,500,700,+
30667,30667,ENST00000588558,0,200,+
44707,44707,ENST00000376189,219,419,+
48228,48228,ENST00000262301,1374,1574,+
15126,15126,ENST00000399396,669,869,+
20515,20515,ENST00000216071,132,332,+
46925,46925,ENST00000620316,112,312,+
24739,24739,ENST00000366835,1910,2110,+
1834,1834,ENST00000312060,451,651,+
33878,33878,ENST00000423485,1986,2186,+
34526,34526,ENST00000367103,663,863,+
20386,20386,ENST00000355634,2190,2390,+
14132,14132,ENST00000585976,1334,1534,+
11828,11828,ENST00000331299,614,814,+
32354,32354,ENST00000409462,255,455,+
7271,7271,ENST00000412720,415,615,+
30458,30458,ENST00000569656,140,340,+
6438,6438,ENST00000641166,79,279,+
35741,35741,ENST00000308874,515,715,+
22565,22565,ENST00000525729,13,213,+
40691,40691,ENST00000635156,700,900,+
28252,28252,ENST00000542077,277,477,+
15117,15117,ENST00000389176,1053,1253,+
23748,23748,ENST00000376769,2,202,+
16908,16908,ENST00000444376,2017,2217,+
24301,24301,ENST00000418572,376,576,+
11473,11473,ENST00000394204,171,371,+
38833,38833,ENST00000397666,329,529,+
46199,46199,ENST00000229395,98,298,+
30778,30778,ENST00000481909,821,1021,+
34871,34871,ENST00000617391,430,630,+
36391,36391,ENST00000590397,178,378,+
23875,23875,ENST00000294072,261,461,+
3509,3509,ENST00000614125,917,1117,+
23370,23370,ENST00000372269,71,271,+
41142,41142,ENST00000622903,246,446,+
22498,22498,ENST00000556274,10,210,+
18401,18401,ENST00000442966,106,306,+
24872,24872,ENST00000549919,1488,1688,+
5096,5096,ENST00000396005,733,933,+
24477,24477,ENST00000559607,1783,1983,+
14666,14666,ENST00000407963,316,516,+
30152,30152,ENST00000181839,2670,2870,+
12785,12785,ENST00000559785,652,852,+
26861,26861,ENST00000513177,200,400,+
19794,19794,ENST00000323777,268,468,+
37088,37088,ENST00000510092,530,730,+
35463,35463,ENST00000542733,1384,1584,+
6672,6672,ENST00000333916,653,853,+
28332,28332,ENST00000389282,1544,1744,+
8197,8197,ENST00000424646,1857,2057,+
44873,44873,ENST00000369287,1394,1594,+
32064,32064,ENST00000378714,646,846,+
33794,33794,ENST00000272298,69,269,+
49315,49315,ENST00000354197,697,897,+
1290,1290,ENST00000210313,879,1079,+
49230,49230,ENST00000523069,49,249,+
2688,2688,ENST00000528775,491,691,+
49076,49076,ENST00000652059,729,929,+
28422,28422,ENST00000590841,9,209,+
45697,45697,ENST00000315792,107,307,+
25214,25214,ENST00000373005,103,303,+
24138,24138,ENST00000282924,1496,1696,+
11291,11291,ENST00000262593,188,388,+
36909,36909,ENST00000311550,417,617,+
25516,25516,ENST00000542100,7,207,+
36441,36441,ENST00000396098,380,580,+
48976,48976,ENST00000261182,499,699,+
46370,46370,ENST00000235835,279,479,+
26877,26877,ENST00000618991,95,295,+
30488,30488,ENST00000556536,12,212,+
29060,29060,ENST00000485509,27,227,+
9853,9853,ENST00000536272,669,869,+
44255,44255,ENST00000650276,50,250,+
4186,4186,ENST00000379283,11,211,+
7046,7046,ENST00000374490,17,217,+
19098,19098,ENST00000415136,319,519,+
45741,45741,ENST00000375901,859,1059,+
8174,8174,ENST00000586590,299,499,+
4345,4345,ENST00000383846,613,813,+
15468,15468,ENST00000394830,2376,2576,+
18373,18373,ENST00000298717,1263,1463,+
28157,28157,ENST00000243611,108,308,+
28285,28285,ENST00000503442,108,308,+
42060,42060,ENST00000585482,14,214,+
9379,9379,ENST00000485358,312,512,+
14176,14176,ENST00000311832,63,263,+
22833,22833,ENST00000383745,460,660,+
25129,25129,ENST00000652567,368,568,+
13634,13634,ENST00000404076,3129,3329,+
35392,35392,ENST00000276602,762,962,+
6775,6775,ENST00000283285,265,465,+
3518,3518,ENST00000296869,578,778,+
44423,44423,ENST00000372586,735,935,+
32038,32038,ENST00000492807,1172,1372,+
40407,40407,ENST00000597584,79,279,+
42131,42131,ENST00000424893,44,244,+
40234,40234,ENST00000344575,1062,1262,+
20414,20414,ENST00000540797,958,1158,+
25075,25075,ENST00000276420,689,889,+
27034,27034,ENST00000589717,961,1161,+
48916,48916,ENST00000442677,1155,1355,+
46497,46497,ENST00000265284,364,564,+
46933,46933,ENST00000545558,1685,1885,+
4547,4547,ENST00000245903,311,511,+
3677,3677,ENST00000552115,2278,2478,+
33381,33381,ENST00000398405,636,836,+
46207,46207,ENST00000321358,585,785,+
39638,39638,ENST00000623882,380,580,+
16010,16010,ENST00000634613,813,1013,+
41817,41817,ENST00000258200,237,437,+
37758,37758,ENST00000519253,3781,3981,+
14075,14075,ENST00000640101,16,216,+
29792,29792,ENST00000340537,167,367,+
3463,3463,ENST00000479577,485,685,+
11326,11326,ENST00000248668,1252,1452,+
27492,27492,ENST00000264888,134,334,+
17655,17655,ENST00000482630,283,483,+
14853,14853,ENST00000410053,261,461,+
12549,12549,ENST00000424088,63,263,+
34950,34950,ENST00000634804,3,203,+
13173,13173,ENST00000374440,603,803,+
34291,34291,ENST00000350766,124,324,+
37980,37980,ENST00000302124,336,536,+
27248,27248,ENST00000339877,162,362,+
8121,8121,ENST00000361255,3787,3987,+
19108,19108,ENST00000396085,1921,2121,+
18654,18654,ENST00000456778,272,472,+
45803,45803,ENST00000337929,880,1080,+
47594,47594,ENST00000369183,496,696,+
13430,13430,ENST00000426005,320,520,+
1123,1123,ENST00000402938,82,282,+
41368,41368,ENST00000647790,192,392,+
2904,2904,ENST00000396327,1562,1762,+
13086,13086,ENST00000592521,123,323,+
42027,42027,ENST00000332191,2120,2320,+
37753,37753,ENST00000412168,161,361,+
31081,31081,ENST00000330233,28,228,+
6260,6260,ENST00000382440,1431,1631,+
33325,33325,ENST00000537107,974,1174,+
23249,23249,ENST00000617721,374,574,+
28528,28528,ENST00000641841,628,828,+
11325,11325,ENST00000281708,1790,1990,+
4888,4888,ENST00000310085,410,610,+
10203,10203,ENST00000301046,227,427,+
29817,29817,ENST00000434192,342,542,+
25610,25610,ENST00000445772,688,888,+
36620,36620,ENST00000296043,4590,4790,+
14386,14386,ENST00000397473,166,366,+
